name,type,null?
VINTAGE_YEAR,NUMBER,Y
DATE_REFERENCE,DATE,Y
GEO_LEVEL_CODE,VARCHAR,Y
LODES_JOB_TYPE_CODE,VARCHAR,Y
GEO_ID_RESIDENCE_BLOCK_GROUP,VARCHAR,Y
GEO_ID_WORKPLACE_BLOCK_GROUP,VARCHAR,Y
GEO_ID_RESIDENCE_COUNTY,VARCHAR,Y
GEO_ID_WORKPLACE_COUNTY,VARCHAR,Y
JOBS_TOTAL,NUMBER,Y
JOBS_AGE_SA01,NUMBER,Y
JOBS_AGE_SA02,NUMBER,Y
JOBS_AGE_SA03,NUMBER,Y
JOBS_EARNINGS_SE01,NUMBER,Y
JOBS_EARNINGS_SE02,NUMBER,Y
JOBS_EARNINGS_SE03,NUMBER,Y
JOBS_INDUSTRY_SI01,NUMBER,Y
JOBS_INDUSTRY_SI02,NUMBER,Y
JOBS_INDUSTRY_SI03,NUMBER,Y
LODES_CREATE_DATE,VARCHAR,Y
DBT_UPDATED_AT,TIMESTAMP_LTZ,Y
