domain_code,concept_code
capital,cap_rate
capital,delinquency
capital,dscr
capital,inflation
capital,ltv
capital,noi
capital,rates
capital,spine
capital,underwriting
household,education
household,income
household,migration
household,population
household,wages
housing,absorption
housing,concession
housing,homeprice
housing,housing_stock
housing,listings
housing,multifamily_market
housing,occupancy
housing,permits
housing,rent
housing,supply_pipeline
housing,transactions
housing,vacancy
place,automation
place,crime
place,employment
place,labor
place,pipeline
place,school_quality
place,unemployment
portfolio,disposition
