metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_159,multifamily_market_ranker_panel_county_monthly_unemployment_rate,MF ranker unemployment rate (county ranker panel),multifamily_market,housing,county,monthly,pct,negative,FALSE,vendor_stated,UNEMPLOYMENT_RATE,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_118,bls_laus_employment_persons_cbsa_monthly,BLS LAUS employment (CBSA),employment,place,cbsa,monthly,count,positive,TRUE,vendor_stated,EMPLOYMENT,TRANSFORM.DEV.FACT_BLS_LAUS_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_F3D3390B2D,bls_bls_laus_cbsa_monthly_labor_force,Bls Labor Force,employment,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,LABOR_FORCE,TRANSFORM.DEV.FACT_BLS_LAUS_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_117,bls_laus_unemployed_persons_cbsa_monthly,BLS LAUS unemployed persons (CBSA),unemployment,place,cbsa,monthly,count,negative,TRUE,vendor_stated,UNEMPLOYED_COUNT,TRANSFORM.DEV.FACT_BLS_LAUS_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_006,bls_laus_cbsa_series_observe,BLS LAUS CBSA series (observe-only),unemployment,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,UNEMPLOYMENT_RATE,TRANSFORM.DEV.FACT_BLS_LAUS_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_C9476716,bls__fact_bls_laus_county__value,VALUE — FACT_BLS_LAUS_COUNTY (4 pretium catalog metrics),unemployment,place,county,monthly,count,negative,TRUE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY,0,1900-01-01,Collapsed 4 catalog `metric.csv` rows onto this physical column (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_EAE6EA41FB,bls_bls_laus_county_monthly_employment,Bls Employment,employment,place,county,monthly,count,positive,TRUE,vendor_stated,EMPLOYMENT,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_88E224649A,bls_bls_laus_county_monthly_employment_ratio,Bls Employment Ratio,employment,place,county,monthly,pct,positive,TRUE,vendor_stated,EMPLOYMENT_RATIO,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_B5DD37A7E8,bls_bls_laus_county_monthly_labor_force,Bls Labor Force,employment,place,county,monthly,varies,neutral,TRUE,vendor_stated,LABOR_FORCE,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_F5E7901DAF,bls_bls_laus_county_monthly_unemployed_count,Bls Unemployed Count,unemployment,place,county,monthly,count,neutral,TRUE,vendor_stated,UNEMPLOYED_COUNT,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
