metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_157,multifamily_market_ranker_panel_county_monthly_pct_25_44,MF ranker pct 25-44 (county ranker panel),multifamily_market,housing,county,monthly,pct,neutral,FALSE,vendor_stated,PCT_25_44,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_156,multifamily_market_ranker_panel_county_monthly_renter_share,MF ranker renter share (county ranker panel),multifamily_market,housing,county,monthly,pct,neutral,FALSE,vendor_stated,RENTER_SHARE,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_158,multifamily_market_ranker_panel_county_monthly_rent_burden_30_plus_share,MF ranker rent burden 30+ share (county ranker panel),multifamily_market,housing,county,monthly,pct,neutral,FALSE,vendor_stated,RENT_BURDEN_30_PLUS_SHARE,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_154,multifamily_market_ranker_panel_county_monthly_total_households,MF ranker total households (county ranker panel),multifamily_market,housing,county,monthly,count,neutral,FALSE,vendor_stated,TOTAL_HOUSEHOLDS,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_A49F000A,census__concept_school_quality_market_annual__school_quality_current,school_quality_current — CONCEPT_SCHOOL_QUALITY_MARKET_ANNUAL (2 pretium catalog metrics),school_quality,place,cbsa,annual,pct,neutral,TRUE,vendor_stated,school_quality_current,TRANSFORM.DEV.CONCEPT_SCHOOL_QUALITY_MARKET_ANNUAL,0,1900-01-01,Collapsed 2 catalog `metric.csv` rows onto this physical column (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_C165D32A45,census_acs_demographics_county_acs_year,Census Acs Year,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,ACS_YEAR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_AF75E94F76,census_acs_demographics_county_employed,Census Employed,employment,place,county,monthly,varies,neutral,TRUE,vendor_stated,EMPLOYED,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_6B7A165DFA,census_acs_demographics_county_employed_abs_change_acs5_10yr,Census Employed Abs Change Acs5 10Yr,employment,place,county,monthly,varies,neutral,TRUE,vendor_stated,EMPLOYED_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_9D069FD59E,census_acs_demographics_county_employed_abs_change_acs5_5yr,Census Employed Abs Change Acs5 5Yr,employment,place,county,monthly,varies,neutral,TRUE,vendor_stated,EMPLOYED_ABS_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_9A20789213,census_acs_demographics_county_employed_pct_change_acs5_10yr,Census Employed Pct Change Acs5 10Yr,employment,place,county,monthly,pct,neutral,TRUE,vendor_stated,EMPLOYED_PCT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_C2A74B1C55,census_acs_demographics_county_employed_pct_change_acs5_5yr,Census Employed Pct Change Acs5 5Yr,employment,place,county,monthly,pct,neutral,TRUE,vendor_stated,EMPLOYED_PCT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_041DF13877,census_acs_demographics_county_emp_total_16plus,Census Emp Total 16Plus,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,EMP_TOTAL_16PLUS,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_B0E102C3B9,census_acs_demographics_county_emp_total_16plus_abs_change_acs5_10yr,Census Emp Total 16Plus Abs Change Acs5 10Yr,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,EMP_TOTAL_16PLUS_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_31C777412B,census_acs_demographics_county_emp_total_16plus_abs_change_acs5_5yr,Census Emp Total 16Plus Abs Change Acs5 5Yr,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,EMP_TOTAL_16PLUS_ABS_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_BE61A3CAC4,census_acs_demographics_county_emp_total_16plus_pct_change_acs5_10yr,Census Emp Total 16Plus Pct Change Acs5 10Yr,pipeline,place,county,monthly,pct,neutral,TRUE,vendor_stated,EMP_TOTAL_16PLUS_PCT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_BBF45F9437,census_acs_demographics_county_emp_total_16plus_pct_change_acs5_5yr,Census Emp Total 16Plus Pct Change Acs5 5Yr,pipeline,place,county,monthly,pct,neutral,TRUE,vendor_stated,EMP_TOTAL_16PLUS_PCT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_C7C2970D46,census_acs_demographics_county_family_households,Census Family Households,population,household,county,monthly,varies,neutral,TRUE,vendor_stated,FAMILY_HOUSEHOLDS,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_13647F643B,census_acs_demographics_county_family_households_abs_change_acs5_10yr,Census Family Households Abs Change Acs5 10Yr,population,household,county,monthly,varies,neutral,TRUE,vendor_stated,FAMILY_HOUSEHOLDS_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_6F241ECF36,census_acs_demographics_county_family_households_abs_change_acs5_5yr,Census Family Households Abs Change Acs5 5Yr,population,household,county,monthly,varies,neutral,TRUE,vendor_stated,FAMILY_HOUSEHOLDS_ABS_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CENSUS_MAN_4344800B8F,census_acs_demographics_county_family_households_pct_change_acs5_10yr,Census Family Households Pct Change Acs5 10Yr,population,household,county,monthly,pct,neutral,TRUE,vendor_stated,FAMILY_HOUSEHOLDS_PCT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
