metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_149,multifamily_market_ranker_panel_county_monthly_median_market_ppsf,MF ranker median market PPSF (county ranker panel),multifamily_market,housing,county,monthly,usd,neutral,FALSE,vendor_stated,MEDIAN_MARKET_PPSF,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_155,multifamily_market_ranker_panel_county_monthly_pct_pre_1980,MF ranker pct pre-1980 Cherre MF (county ranker panel),multifamily_market,housing,county,monthly,pct,neutral,FALSE,vendor_stated,PCT_PRE_1980,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_152,multifamily_market_ranker_panel_county_monthly_units_garden,MF ranker units garden (county ranker panel),multifamily_market,housing,county,monthly,count,neutral,FALSE,vendor_stated,UNITS_GARDEN,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CHERRE_MAN_B72A8BBA,cherre__concept_transactions_market_monthly__transactions_current,transactions_current — CONCEPT_TRANSACTIONS_MARKET_MONTHLY (2 pretium catalog metrics),transactions,housing,cbsa,monthly,count,positive,TRUE,vendor_stated,transactions_current,TRANSFORM.DEV.CONCEPT_TRANSACTIONS_MARKET_MONTHLY,0,1900-01-01,Collapsed 2 catalog `metric.csv` rows onto this physical column (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CHERRE_FAM_95510AA8620E,cherre_cherre_avm_county_monthly_avg_avm,Cherre Avg Avm,homeprice,housing,county,monthly,varies,neutral,TRUE,vendor_stated,AVG_AVM,TRANSFORM.DEV.FACT_CHERRE_AVM_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CHERRE_FAM_BC36C400BB9A,cherre_cherre_avm_county_monthly_avg_confidence_score,Cherre Avg Confidence Score,homeprice,housing,county,monthly,index,neutral,TRUE,vendor_stated,AVG_CONFIDENCE_SCORE,TRANSFORM.DEV.FACT_CHERRE_AVM_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CHERRE_FAM_EBE5EB3CC005,cherre_cherre_avm_county_monthly_avm_to_assessed_ratio,Cherre Avm To Assessed Ratio,homeprice,housing,county,monthly,pct,neutral,TRUE,vendor_stated,AVM_TO_ASSESSED_RATIO,TRANSFORM.DEV.FACT_CHERRE_AVM_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CHERRE_FAM_13BF023F3242,cherre_cherre_avm_county_monthly_median_assessed_value,Cherre Median Assessed Value,homeprice,housing,county,monthly,usd,neutral,TRUE,vendor_stated,MEDIAN_ASSESSED_VALUE,TRANSFORM.DEV.FACT_CHERRE_AVM_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CHERRE_FAM_5AC161FBC938,cherre_cherre_avm_county_monthly_median_avm,Cherre Median Avm,homeprice,housing,county,monthly,varies,neutral,TRUE,vendor_stated,MEDIAN_AVM,TRANSFORM.DEV.FACT_CHERRE_AVM_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CHERRE_FAM_60A53186C59F,cherre_cherre_avm_county_monthly_median_avm_high,Cherre Median Avm High,homeprice,housing,county,monthly,varies,neutral,TRUE,vendor_stated,MEDIAN_AVM_HIGH,TRANSFORM.DEV.FACT_CHERRE_AVM_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
