metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
COSTAR_1048,costar_costar_cbsa_monthly_appreciation_return,Costar Appreciation Return,homeprice,housing,cbsa,monthly,pct,positive,TRUE,vendor_stated,APPRECIATION_RETURN,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1006,costar_costar_cbsa_monthly_asking_rent_1br,Costar Asking Rent 1Br,rent,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,ASKING_RENT_1BR,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1007,costar_costar_cbsa_monthly_asking_rent_2br,Costar Asking Rent 2Br,rent,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,ASKING_RENT_2BR,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1008,costar_costar_cbsa_monthly_asking_rent_3br,Costar Asking Rent 3Br,rent,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,ASKING_RENT_3BR,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1013,costar_costar_cbsa_monthly_asking_rent_growth_mom,Costar Asking Rent Growth Mom,rent,housing,cbsa,monthly,pct,neutral,TRUE,vendor_stated,ASKING_RENT_GROWTH_MOM,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1014,costar_costar_cbsa_monthly_asking_rent_growth_yoy,Costar Asking Rent Growth Yoy,rent,housing,cbsa,monthly,pct,neutral,TRUE,vendor_stated,ASKING_RENT_GROWTH_YOY,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1017,costar_costar_cbsa_monthly_asking_rent_index,Costar Asking Rent Index,rent,housing,cbsa,monthly,index,neutral,TRUE,vendor_stated,ASKING_RENT_INDEX,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1002,costar_costar_cbsa_monthly_asking_rent_per_sf,Costar Asking Rent Per Sf,rent,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,ASKING_RENT_PER_SF,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1001,costar_costar_cbsa_monthly_asking_rent_per_unit,Costar Asking Rent Per Unit,rent,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,ASKING_RENT_PER_UNIT,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
COSTAR_1005,costar_costar_cbsa_monthly_asking_rent_studio,Costar Asking Rent Studio,rent,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,ASKING_RENT_STUDIO,TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
