metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
CPS_NBER_RESOLVED_HOUSEHOLD_WEIGHT,cps_household_weight_county_monthly_observe,CPS household weight county monthly (Transform.Dev),population,household,county,monthly,count,neutral,TRUE,vendor_stated,HOUSEHOLD_WEIGHT,TRANSFORM.DEV.FACT_CPS_COUNTY_RESOLVED,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_RESOLVED_HOUSEHOLD_SIZE,cps_household_members_county_monthly_observe,CPS household member count county monthly (Transform.Dev),population,household,county,monthly,count,neutral,TRUE,vendor_stated,NUMBER_OF_HOUSEHOLD_MEMBERS,TRANSFORM.DEV.FACT_CPS_COUNTY_RESOLVED,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_RESOLVED_PERSON_AGE,cps_person_age_county_monthly_observe,CPS person age county monthly (Transform.Dev),population,household,county,monthly,years,neutral,TRUE,vendor_stated,PERSON_PROCESSED_AGE,TRANSFORM.DEV.FACT_CPS_COUNTY_RESOLVED,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_RESOLVED_PERSON_WEIGHT,cps_person_weight_composite_county_monthly_observe,CPS person composite weight county monthly (Transform.Dev),population,household,county,monthly,count,neutral,TRUE,vendor_stated,PERSON_WEIGHT_COMPOSITE,TRANSFORM.DEV.FACT_CPS_COUNTY_RESOLVED,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_RESOLVED_PERSON_WEIGHT_OUT_ROT,cps_person_weight_outgoing_rotation_county_monthly_observe,CPS outgoing rotation weight county monthly (Transform.Dev),population,household,county,monthly,count,neutral,TRUE,vendor_stated,PERSON_WEIGHT_OUTGOING_ROTATION,TRANSFORM.DEV.FACT_CPS_COUNTY_RESOLVED,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_FAM_68E3B00D421D,cps_nber_cps_county_resolved_p_month,Cps Nber P Month,employment,place,county,monthly,varies,neutral,TRUE,vendor_stated,P_MONTH,TRANSFORM.DEV.FACT_CPS_COUNTY_RESOLVED,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_FAM_9FD703B0F722,cps_nber_cps_county_resolved_p_year,Cps Nber P Year,employment,place,county,monthly,varies,neutral,TRUE,vendor_stated,P_YEAR,TRANSFORM.DEV.FACT_CPS_COUNTY_RESOLVED,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_EMPLOYED_POP_RATIO,cps_employed_to_population_ratio_county_monthly,CPS employed-to-population ratio county monthly,employment,place,county,monthly,pct,positive,TRUE,vendor_stated,FEAT_CPS_EMPLOYED_TO_POPULATION_RATIO,TRANSFORM.DEV.FACT_NBER_CPS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_EMPLOYMENT_RATE,cps_employment_rate_county_monthly,CPS employment rate county monthly,employment,place,county,monthly,pct,positive,TRUE,vendor_stated,FEAT_CPS_EMPLOYMENT_RATE,TRANSFORM.DEV.FACT_NBER_CPS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
CPS_NBER_HEHOUSUT_COUNT,cps_house_apartment_flat_weighted_count_county_monthly,CPS weighted house/apartment/flat household count county monthly,population,household,county,monthly,count,positive,TRUE,vendor_stated,FEAT_CPS_HH_WEIGHTED_HEHOUSUT_HOUSE_APARTMENT_FLAT,TRANSFORM.DEV.FACT_NBER_CPS_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
