metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_013,cybersyn_hud_timeseries_value_cbsa,"Cybersyn HUD housing timeseries (VALUE, CBSA)",occupancy,housing,cbsa,monthly,varies,neutral,TRUE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_HUD_HOUSING_SERIES_CBSA,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_008,cybersyn_hud_timeseries_value,Cybersyn HUD housing timeseries (VALUE),occupancy,housing,county,monthly,varies,neutral,TRUE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_HUD_HOUSING_SERIES_COUNTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
HUD_MAN_9A0D0EBCC9,hud_hud_oz_tract_area_mfi,Hud Area Mfi,pipeline,place,tract,monthly,varies,neutral,TRUE,vendor_stated,AREA_MFI,TRANSFORM.DEV.FACT_HUD_OZ_TRACT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
HUD_MAN_BDBF45AE6A,hud_hud_oz_tract_mfi_70_eligible,Hud Mfi 70 Eligible,pipeline,place,tract,monthly,varies,neutral,TRUE,vendor_stated,MFI_70_ELIGIBLE,TRANSFORM.DEV.FACT_HUD_OZ_TRACT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
HUD_MAN_855C91A241,hud_hud_oz_tract_oz2_eligible_flag,Hud Oz2 Eligible Flag,pipeline,place,tract,monthly,varies,neutral,TRUE,vendor_stated,OZ2_ELIGIBLE_FLAG,TRANSFORM.DEV.FACT_HUD_OZ_TRACT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
HUD_MAN_AA790CA8BF,hud_hud_oz_tract_pct_area_mfi,Hud Pct Area Mfi,pipeline,place,tract,monthly,pct,neutral,TRUE,vendor_stated,PCT_AREA_MFI,TRANSFORM.DEV.FACT_HUD_OZ_TRACT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
HUD_MAN_442C5A4407,hud_hud_oz_tract_poverty_125_mfi_eligible,Hud Poverty 125 Mfi Eligible,pipeline,place,tract,monthly,varies,neutral,TRUE,vendor_stated,POVERTY_125_MFI_ELIGIBLE,TRANSFORM.DEV.FACT_HUD_OZ_TRACT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
HUD_MAN_859747037C,hud_hud_oz_tract_tract_mfi,Hud Tract Mfi,pipeline,place,tract,monthly,varies,neutral,TRUE,vendor_stated,TRACT_MFI,TRANSFORM.DEV.FACT_HUD_OZ_TRACT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
HUD_MAN_D4ECB309D3,hud_hud_oz_tract_tract_poverty_pct,Hud Tract Poverty Pct,pipeline,place,tract,monthly,pct,neutral,TRUE,vendor_stated,TRACT_POVERTY_PCT,TRANSFORM.DEV.FACT_HUD_OZ_TRACT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_099,hud_housing_series_observe,Fact Hud Housing Series (Transform.Dev),occupancy,housing,county,monthly,varies,neutral,FALSE,vendor_stated,VALUE,TRANSFORM.DEV.fact_hud_housing_series,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
