metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_161,multifamily_market_ranker_panel_county_monthly_custom_score,MF ranker custom score (placeholder),multifamily_market,housing,county,monthly,varies,neutral,FALSE,vendor_stated,CUSTOM_SCORE,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_150,multifamily_market_ranker_panel_county_monthly_market_phase,MF ranker market phase (placeholder),multifamily_market,housing,county,monthly,varies,neutral,FALSE,vendor_stated,MARKET_PHASE,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_151,multifamily_market_ranker_panel_county_monthly_median_months_to_completion,MF ranker median months to completion (county ranker panel),multifamily_market,housing,county,monthly,varies,neutral,FALSE,vendor_stated,MEDIAN_MONTHS_TO_COMPLETION,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_160,multifamily_market_ranker_panel_county_monthly_pretium_score,MF ranker Pretium score (placeholder),multifamily_market,housing,county,monthly,varies,neutral,FALSE,vendor_stated,PRETIUM_SCORE,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_146,multifamily_market_ranker_panel_county_monthly_rent_mom_pct_change,MF ranker rent MoM pct (county ranker panel),multifamily_market,housing,county,monthly,pct,neutral,FALSE,vendor_stated,RENT_MOM_PCT_CHANGE,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_162,multifamily_market_ranker_panel_county_monthly_rent_trend_flag,MF ranker rent trend flag (placeholder),multifamily_market,housing,county,monthly,varies,neutral,FALSE,vendor_stated,RENT_TREND_FLAG,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_153,multifamily_market_ranker_panel_county_monthly_units_under_construction,MF ranker units under construction (county ranker panel),multifamily_market,housing,county,monthly,count,neutral,FALSE,vendor_stated,UNITS_UNDER_CONSTRUCTION,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_132,concept_supply_pipeline_rca_mf_uc_units_cbsa_monthly,RCA MF units under construction (concept CBSA observe),supply_pipeline,housing,cbsa,monthly,count,neutral,TRUE,vendor_stated,supply_pipeline_current,TRANSFORM.DEV.CONCEPT_SUPPLY_PIPELINE_MARKET_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_129,concept_transactions_rca_mf_sale_count_cbsa_monthly,RCA MF closed-sale count (concept CBSA observe),transactions,housing,cbsa,monthly,count,positive,TRUE,vendor_stated,transactions_current,TRANSFORM.DEV.CONCEPT_TRANSACTIONS_MARKET_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_121,aige_counties_observe,Fact Aige Counties (Transform.Dev),employment,place,county,annual,varies,neutral,FALSE,vendor_stated,MULTI_COLUMN,TRANSFORM.DEV.FACT_AIGE_COUNTIES,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
INTERNAL_MAN_D0435CAD26,internal_bh_county_monthly_active_leases,Internal Active Leases,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,ACTIVE_LEASES,TRANSFORM.DEV.FACT_BH_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
INTERNAL_MAN_494DA154DE,internal_bh_county_monthly_avg_rent_active,Internal Avg Rent Active,rent,housing,county,monthly,usd,neutral,TRUE,vendor_stated,AVG_RENT_ACTIVE,TRANSFORM.DEV.FACT_BH_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
