metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_147,multifamily_market_ranker_panel_county_monthly_avg_asking_rent,MF ranker asking rent level (county ranker panel),multifamily_market,housing,county,monthly,usd,neutral,FALSE,vendor_stated,AVG_ASKING_RENT,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_148,multifamily_market_ranker_panel_county_monthly_avg_concession_mom_pct_change,MF ranker concession MoM pct (county ranker panel),multifamily_market,housing,county,monthly,pct,neutral,FALSE,vendor_stated,AVG_CONCESSION_MOM_PCT_CHANGE,ANALYTICS.DBT_DEV.FEATURE_MULTIFAMILY_MARKET_RANKER_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MARKERR_MAN_FB97AB27,markerr__concept_crime_market_annual__crime_current,crime_current — CONCEPT_CRIME_MARKET_ANNUAL (6 pretium catalog metrics),crime,place,cbsa,annual,index,negative,TRUE,vendor_stated,crime_current,TRANSFORM.DEV.CONCEPT_CRIME_MARKET_ANNUAL,0,1900-01-01,Collapsed 6 catalog `metric.csv` rows onto this physical column (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_131,concept_supply_pipeline_markerr_listings_count_cbsa_monthly,Markerr rent listings count (concept CBSA observe),supply_pipeline,housing,cbsa,monthly,count,neutral,TRUE,vendor_stated,supply_pipeline_current,TRANSFORM.DEV.CONCEPT_SUPPLY_PIPELINE_MARKET_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MARKERR_MAN_76128627A7,markerr_markerr_amenity_h3_r8_snapshot_amenity_composite_index,Markerr Amenity Composite Index,pipeline,place,cbsa,monthly,index,neutral,TRUE,vendor_stated,AMENITY_COMPOSITE_INDEX,TRANSFORM.DEV.FACT_MARKERR_AMENITY_H3_R8_SNAPSHOT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MARKERR_MAN_7D61241255,markerr_markerr_amenity_h3_r8_snapshot_avg_students_per_teacher,Markerr Avg Students Per Teacher,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,AVG_STUDENTS_PER_TEACHER,TRANSFORM.DEV.FACT_MARKERR_AMENITY_H3_R8_SNAPSHOT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MARKERR_MAN_EDB3F510BB,markerr_markerr_amenity_h3_r8_snapshot_crime_index_wavg,Markerr Crime Index Wavg,crime,place,cbsa,monthly,index,neutral,TRUE,vendor_stated,CRIME_INDEX_WAVG,TRANSFORM.DEV.FACT_MARKERR_AMENITY_H3_R8_SNAPSHOT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MARKERR_MAN_C6D82A000B,markerr_markerr_amenity_h3_r8_snapshot_elementary_count,Markerr Elementary Count,pipeline,place,cbsa,monthly,count,neutral,TRUE,vendor_stated,ELEMENTARY_COUNT,TRANSFORM.DEV.FACT_MARKERR_AMENITY_H3_R8_SNAPSHOT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MARKERR_MAN_C9C5FB1CC6,markerr_markerr_amenity_h3_r8_snapshot_elementary_score_avg,Markerr Elementary Score Avg,pipeline,place,cbsa,monthly,index,neutral,TRUE,vendor_stated,ELEMENTARY_SCORE_AVG,TRANSFORM.DEV.FACT_MARKERR_AMENITY_H3_R8_SNAPSHOT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MARKERR_MAN_53F334C826,markerr_markerr_amenity_h3_r8_snapshot_elementary_score_max,Markerr Elementary Score Max,pipeline,place,cbsa,monthly,index,neutral,TRUE,vendor_stated,ELEMENTARY_SCORE_MAX,TRANSFORM.DEV.FACT_MARKERR_AMENITY_H3_R8_SNAPSHOT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
