metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
REDFIN_MAN_97A1BAA2EB,redfin_redfin_county_h3_monthly_absorption_rate,Redfin Absorption Rate,pipeline,place,county,monthly,pct,positive,TRUE,vendor_stated,ABSORPTION_RATE,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_5C12BB718B,redfin_redfin_county_h3_monthly_avg_sale_to_list,Redfin Avg Sale To List,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,AVG_SALE_TO_LIST,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_B42BDFC8E2,redfin_redfin_county_h3_monthly_avg_sale_to_list_mom,Redfin Avg Sale To List Mom,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,AVG_SALE_TO_LIST_MOM,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_406791C407,redfin_redfin_county_h3_monthly_avg_sale_to_list_yoy,Redfin Avg Sale To List Yoy,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,AVG_SALE_TO_LIST_YOY,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_E11A23C13F,redfin_redfin_county_h3_monthly_homes_sold,Redfin Homes Sold,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,HOMES_SOLD,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_C60F6F0803,redfin_redfin_county_h3_monthly_homes_sold_mom,Redfin Homes Sold Mom,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,HOMES_SOLD_MOM,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_0D5EA5F164,redfin_redfin_county_h3_monthly_homes_sold_yoy,Redfin Homes Sold Yoy,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,HOMES_SOLD_YOY,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_1C9CABFEB9,redfin_redfin_county_h3_monthly_inventory,Redfin Inventory,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,INVENTORY,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_1FC64CEA7C,redfin_redfin_county_h3_monthly_inventory_mom,Redfin Inventory Mom,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,INVENTORY_MOM,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_39FEC858D0,redfin_redfin_county_h3_monthly_inventory_yoy,Redfin Inventory Yoy,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,INVENTORY_YOY,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_0F4115B5A2,redfin_redfin_county_h3_monthly_list_to_sale_ratio,Redfin List To Sale Ratio,pipeline,place,county,monthly,pct,neutral,TRUE,vendor_stated,LIST_TO_SALE_RATIO,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
REDFIN_MAN_4AC187040A,redfin_redfin_county_h3_monthly_median_dom,Redfin Median Dom,pipeline,place,county,monthly,varies,neutral,TRUE,vendor_stated,MEDIAN_DOM,TRANSFORM.DEV.FACT_REDFIN_COUNTY_H3_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
