metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_036,progress_acquisition_uw_acquisition_cap_rate,Acquisition cap rate (UW stack),underwriting,capital,property,varies,pct,neutral,FALSE,vendor_stated,acquisition__CAP_RATE__C,TRANSFORM.DEV.CONCEPT_PROGRESS_ACQUISITION_UW,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_037,progress_acquisition_uw_acquisition_net_yield,Acquisition net yield (UW stack),underwriting,capital,property,varies,pct,neutral,FALSE,vendor_stated,acquisition__NET_YIELD__C,TRANSFORM.DEV.CONCEPT_PROGRESS_ACQUISITION_UW,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_035,progress_acquisition_uw_acquisition_purchase_price,Acquisition contract purchase price (UW stack),underwriting,capital,property,varies,usd,neutral,FALSE,vendor_stated,acquisition__PURCHASE_PRICE__C,TRANSFORM.DEV.CONCEPT_PROGRESS_ACQUISITION_UW,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_039,progress_acquisition_uw_fdd_closing_date,Finance DD closing date (UW stack),underwriting,capital,property,varies,varies,neutral,FALSE,vendor_stated,fdd__CLOSING_DATE__C,TRANSFORM.DEV.CONCEPT_PROGRESS_ACQUISITION_UW,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_038,progress_acquisition_uw_fdd_purchase_price,Finance DD purchase price (UW stack),underwriting,capital,property,varies,usd,neutral,FALSE,vendor_stated,fdd__PURCHASE_PRICE__C,TRANSFORM.DEV.CONCEPT_PROGRESS_ACQUISITION_UW,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_040,progress_acquisition_uw_fdd_stabilized,Finance DD stabilized flag (UW stack),underwriting,capital,property,varies,varies,neutral,FALSE,vendor_stated,fdd__STABILIZED__C,TRANSFORM.DEV.CONCEPT_PROGRESS_ACQUISITION_UW,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_030,progress_fund_spine_cap_rate,SFDC cap rate (Progress fund spine),spine,capital,property,varies,pct,neutral,FALSE,vendor_stated,sf_properties__CAP_RATE__C,TRANSFORM.DEV.CONCEPT_PROGRESS_PROPERTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_031,progress_fund_spine_gross_yield,SFDC gross yield (Progress fund spine),spine,capital,property,varies,pct,positive,FALSE,vendor_stated,sf_properties__GROSS_YIELD__C,TRANSFORM.DEV.CONCEPT_PROGRESS_PROPERTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_032,progress_fund_spine_home_condition_score,SFDC home condition score (Progress fund spine),spine,capital,property,varies,index,neutral,FALSE,vendor_stated,sf_properties__HOME_CONDITION_SCORE__C,TRANSFORM.DEV.CONCEPT_PROGRESS_PROPERTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_029,progress_fund_spine_property_number,SFDC property number (Progress fund spine),spine,capital,property,varies,varies,neutral,FALSE,vendor_stated,sf_properties__PROPERTYNUMBER__C,TRANSFORM.DEV.CONCEPT_PROGRESS_PROPERTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
SALESFORCE_MAN_ED9F839680,salesforce_sfdc_acquisition_c_acquisition_costs_c,Salesforce Acquisition Costs  C,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,ACQUISITION_COSTS__C,TRANSFORM.DEV.FACT_SFDC_ACQUISITION_C,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
SALESFORCE_MAN_480C8A0590,salesforce_sfdc_acquisition_c_active_days_on_market_c,Salesforce Active Days On Market  C,pipeline,place,cbsa,monthly,days,negative,TRUE,vendor_stated,ACTIVE_DAYS_ON_MARKET__C,TRANSFORM.DEV.FACT_SFDC_ACQUISITION_C,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
SALESFORCE_MAN_89A97CF473,salesforce_sfdc_acquisition_c_addendum_generated_c,Salesforce Addendum Generated  C,pipeline,place,cbsa,monthly,pct,neutral,TRUE,vendor_stated,ADDENDUM_GENERATED__C,TRANSFORM.DEV.FACT_SFDC_ACQUISITION_C,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
SALESFORCE_MAN_0EB71651DE,salesforce_sfdc_acquisition_c_affordable_net_yield_percent_c,Salesforce Affordable Net Yield Percent  C,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,AFFORDABLE_NET_YIELD_PERCENT__C,TRANSFORM.DEV.FACT_SFDC_ACQUISITION_C,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
SALESFORCE_MAN_A2A2043449,salesforce_sfdc_acquisition_c_affordable_net_yield_c,Salesforce Affordable Net Yield  C,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,AFFORDABLE_NET_YIELD__C,TRANSFORM.DEV.FACT_SFDC_ACQUISITION_C,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
