metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_034,progress_fund_spine_yardi_property_status,Yardi property status (Progress fund spine),spine,capital,property,varies,varies,neutral,FALSE,vendor_stated,yardi_propattr__PROPERTY_STATUS,TRANSFORM.DEV.CONCEPT_PROGRESS_PROPERTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_033,progress_fund_spine_yardi_tier,Yardi property tier (Progress fund spine),spine,capital,property,varies,varies,neutral,FALSE,vendor_stated,yardi_propattr__TIER,TRANSFORM.DEV.CONCEPT_PROGRESS_PROPERTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_LEDGER_AMOUNT_PAID,yardi_bh_ledger_amount_paid_property_daily_observe,Yardi BH ledger amount paid property daily (Transform.Dev),noi,capital,property,daily,usd,positive,TRUE,vendor_stated,TRANS_AMOUNT_PAID,TRANSFORM.DEV.FACT_BH_YARDI_LEDGER,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_LEDGER_CREDIT_FLAG,yardi_bh_ledger_credit_flag_property_daily_observe,Yardi BH ledger credit flag property daily (Transform.Dev),noi,capital,property,daily,boolean,neutral,TRUE,vendor_stated,TRANS_CREDIT_FLAG,TRANSFORM.DEV.FACT_BH_YARDI_LEDGER,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_LEDGER_OPEN_FLAG,yardi_bh_ledger_open_flag_property_daily_observe,Yardi BH ledger open flag property daily (Transform.Dev),delinquency,capital,property,daily,boolean,negative,TRUE,vendor_stated,TRANS_OPEN_FLAG,TRANSFORM.DEV.FACT_BH_YARDI_LEDGER,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_LEDGER_TOTAL_AMOUNT,yardi_bh_ledger_total_amount_property_daily_observe,Yardi BH ledger total amount property daily (Transform.Dev),noi,capital,property,daily,usd,neutral,TRUE,vendor_stated,TRANS_TOTAL_AMOUNT,TRANSFORM.DEV.FACT_BH_YARDI_LEDGER,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_LEDGER_VOID_FLAG,yardi_bh_ledger_void_flag_property_daily_observe,Yardi BH ledger void flag property daily (Transform.Dev),noi,capital,property,daily,boolean,negative,TRUE,vendor_stated,TRANS_VOID_FLAG,TRANSFORM.DEV.FACT_BH_YARDI_LEDGER,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_PROPERTY_ROW_COUNT,yardi_bh_property_row_count_observe,Yardi BH property row count observe (Transform.Dev),spine,capital,property,daily,count,neutral,FALSE,vendor_stated,YARDI_PROPERTY_HKEY,TRANSFORM.DEV.FACT_BH_YARDI_PROPERTY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_UNIT_BEDROOM_COUNT,yardi_bh_unit_bedroom_count_property_daily_observe,Yardi BH unit bedroom count property daily (Transform.Dev),spine,capital,property,daily,count,neutral,FALSE,vendor_stated,BEDROOM_COUNT,TRANSFORM.DEV.FACT_BH_YARDI_UNIT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_UNIT_CONTRACT_RENT,yardi_bh_unit_contract_rent_property_daily_observe,Yardi BH unit contract rent property daily (Transform.Dev),rent,housing,property,daily,usd,positive,TRUE,vendor_stated,CONTRACT_RENT,TRANSFORM.DEV.FACT_BH_YARDI_UNIT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_BH_UNIT_SQFT,yardi_bh_unit_sqft_property_daily_observe,Yardi BH unit square feet property daily (Transform.Dev),spine,capital,property,daily,sqft,neutral,FALSE,vendor_stated,SQFT,TRANSFORM.DEV.FACT_BH_YARDI_UNIT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_2CEC2421FE,yardi_bh_yardi_unit_yardi_property_hkey,Yardi Yardi Property Hkey,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,YARDI_PROPERTY_HKEY,TRANSFORM.DEV.FACT_BH_YARDI_UNIT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_EC44E4B0A9,yardi_bh_yardi_unit_yardi_unit_hkey,Yardi Yardi Unit Hkey,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,YARDI_UNIT_HKEY,TRANSFORM.DEV.FACT_BH_YARDI_UNIT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_D9A9658887,yardi_entity_yardi_accttree_hchart,Yardi Hchart,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,HCHART,TRANSFORM.DEV.FACT_ENTITY_YARDI_ACCTTREE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_C8ECEC88BB,yardi_entity_yardi_accttree_hdivisor,Yardi Hdivisor,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,HDIVISOR,TRANSFORM.DEV.FACT_ENTITY_YARDI_ACCTTREE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_CF2E3067D4,yardi_entity_yardi_accttree_hforeigndb,Yardi Hforeigndb,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,HFOREIGNDB,TRANSFORM.DEV.FACT_ENTITY_YARDI_ACCTTREE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_49521B7070,yardi_entity_yardi_accttree_hmy,Yardi Hmy,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,HMY,TRANSFORM.DEV.FACT_ENTITY_YARDI_ACCTTREE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_5468C72E09,yardi_entity_yardi_accttree_itype,Yardi Itype,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,ITYPE,TRANSFORM.DEV.FACT_ENTITY_YARDI_ACCTTREE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_F5607EF6F2,yardi_entity_yardi_camrule_agi1_approvedper,Yardi Agi1 Approvedper,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,AGI1_APPROVEDPER,TRANSFORM.DEV.FACT_ENTITY_YARDI_CAMRULE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_5B8AF55FF9,yardi_entity_yardi_camrule_agi2_approvedper,Yardi Agi2 Approvedper,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,AGI2_APPROVEDPER,TRANSFORM.DEV.FACT_ENTITY_YARDI_CAMRULE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_84084FD7F8,yardi_entity_yardi_camrule_apr,Yardi Apr,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,APR,TRANSFORM.DEV.FACT_ENTITY_YARDI_CAMRULE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_14A6C420CA,yardi_entity_yardi_camrule_aug,Yardi Aug,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,AUG,TRANSFORM.DEV.FACT_ENTITY_YARDI_CAMRULE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
YARDI_MAN_02FAECE63F,yardi_entity_yardi_camrule_bach,Yardi Bach,pipeline,place,cbsa,monthly,varies,neutral,TRUE,vendor_stated,BACH,TRANSFORM.DEV.FACT_ENTITY_YARDI_CAMRULE,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
