metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_145,concept_supply_pipeline_zonda_sfr_inventory_uc_wsum_cbsa_monthly,Zonda SFR inventory UC wsum (concept CBSA observe),supply_pipeline,housing,cbsa,monthly,varies,neutral,TRUE,vendor_stated,supply_pipeline_current,TRANSFORM.DEV.CONCEPT_SUPPLY_PIPELINE_MARKET_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_B72A8BBA,zonda__concept_transactions_market_monthly__transactions_current,transactions_current — CONCEPT_TRANSACTIONS_MARKET_MONTHLY (2 pretium catalog metrics),transactions,housing,cbsa,monthly,count,positive,TRUE,vendor_stated,transactions_current,TRANSFORM.DEV.CONCEPT_TRANSACTIONS_MARKET_MONTHLY,0,1900-01-01,Collapsed 2 catalog `metric.csv` rows onto this physical column (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_BF9A006744,zonda_zonda_btr_county_monthly_county_avg_rent_wavg,Zonda County Avg Rent Wavg,rent,housing,county,monthly,usd,neutral,TRUE,vendor_stated,COUNTY_AVG_RENT_WAVG,TRANSFORM.DEV.FACT_ZONDA_BTR_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_6E5AA4FB7E,zonda_zonda_btr_county_monthly_county_avg_sqft_wavg,Zonda County Avg Sqft Wavg,pipeline,place,county,monthly,count,neutral,TRUE,vendor_stated,COUNTY_AVG_SQFT_WAVG,TRANSFORM.DEV.FACT_ZONDA_BTR_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_F45CBC7AE2,zonda_zonda_btr_county_monthly_county_median_construction_days,Zonda County Median Construction Days,permits,housing,county,monthly,days,neutral,TRUE,vendor_stated,COUNTY_MEDIAN_CONSTRUCTION_DAYS,TRANSFORM.DEV.FACT_ZONDA_BTR_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_B6B3FE12DD,zonda_zonda_btr_county_monthly_county_median_days_in_leasing,Zonda County Median Days In Leasing,pipeline,place,county,monthly,days,neutral,TRUE,vendor_stated,COUNTY_MEDIAN_DAYS_IN_LEASING,TRANSFORM.DEV.FACT_ZONDA_BTR_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_72DE06B1BE,zonda_zonda_btr_county_monthly_county_occupied_units_total,Zonda County Occupied Units Total,occupancy,housing,county,monthly,count,neutral,TRUE,vendor_stated,COUNTY_OCCUPIED_UNITS_TOTAL,TRANSFORM.DEV.FACT_ZONDA_BTR_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_0F4BD2B110,zonda_zonda_btr_county_monthly_county_occ_pct_stabilized_wavg,Zonda County Occ Pct Stabilized Wavg,pipeline,place,county,monthly,pct,neutral,TRUE,vendor_stated,COUNTY_OCC_PCT_STABILIZED_WAVG,TRANSFORM.DEV.FACT_ZONDA_BTR_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_627888CD2F,zonda_zonda_btr_county_monthly_county_occ_pct_wavg,Zonda County Occ Pct Wavg,pipeline,place,county,monthly,pct,neutral,TRUE,vendor_stated,COUNTY_OCC_PCT_WAVG,TRANSFORM.DEV.FACT_ZONDA_BTR_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
ZONDA_MAN_DE9588A802,zonda_zonda_btr_county_monthly_county_pipeline_pressure_ratio,Zonda County Pipeline Pressure Ratio,pipeline,place,county,monthly,pct,neutral,TRUE,vendor_stated,COUNTY_PIPELINE_PRESSURE_RATIO,TRANSFORM.DEV.FACT_ZONDA_BTR_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
