concept_code,frequency_code
rent,monthly
rent,quarterly
rent,annual
occupancy,monthly
occupancy,quarterly
occupancy,annual
vacancy,monthly
vacancy,quarterly
vacancy,annual
employment,monthly
employment,quarterly
employment,annual
unemployment,monthly
unemployment,quarterly
unemployment,annual
permits,monthly
permits,quarterly
permits,annual
migration,annual
population,annual
homeprice,monthly
homeprice,quarterly
homeprice,annual
absorption,monthly
absorption,quarterly
supply_pipeline,monthly
supply_pipeline,quarterly
pipeline,annual
pipeline,monthly
crime,annual
school_quality,annual
education,annual
income,annual
noi,monthly
noi,quarterly
noi,annual
dscr,monthly
dscr,quarterly
dscr,annual
cap_rate,quarterly
cap_rate,annual
ltv,monthly
ltv,quarterly
ltv,annual
delinquency,monthly
delinquency,quarterly
concession,monthly
concession,quarterly
automation,annual
spine,varies
underwriting,varies
rates,daily
rates,monthly
inflation,daily
inflation,monthly
inflation,quarterly
wages,daily
wages,monthly
wages,quarterly
wages,annual
labor,monthly
labor,quarterly
labor,annual
transactions,monthly
transactions,quarterly
multifamily_market,monthly
listings,monthly
listings,weekly
housing_stock,monthly
housing_stock,quarterly
housing_stock,annual
disposition,varies
