concept_code,offering_code,weight,is_primary
absorption,ic_signal_monitor_resi,3,FALSE
automation,ic_signal_monitor_resi,0,FALSE
cap_rate,ic_signal_monitor_resi,0,FALSE
concession,ic_signal_monitor_resi,0,FALSE
crime,ic_signal_monitor_resi,0,FALSE
delinquency,ic_signal_monitor_resi,0,FALSE
disposition,ic_signal_monitor_resi,0,FALSE
dscr,ic_signal_monitor_resi,0,FALSE
education,ic_signal_monitor_resi,0,FALSE
employment,ic_signal_monitor_resi,0,FALSE
homeprice,ic_signal_monitor_resi,0,FALSE
housing_stock,ic_signal_monitor_resi,0,FALSE
income,ic_signal_monitor_resi,0,FALSE
inflation,ic_signal_monitor_resi,0,FALSE
labor,ic_signal_monitor_resi,0,FALSE
listings,ic_signal_monitor_resi,0,FALSE
ltv,ic_signal_monitor_resi,0,FALSE
migration,ic_signal_monitor_resi,0,FALSE
multifamily_market,ic_signal_monitor_resi,0,FALSE
noi,ic_signal_monitor_resi,0,FALSE
occupancy,ic_signal_monitor_resi,0,FALSE
permits,ic_signal_monitor_resi,0,FALSE
pipeline,ic_signal_monitor_resi,0,FALSE
population,ic_signal_monitor_resi,0,FALSE
rates,ic_signal_monitor_resi,0,FALSE
rent,ic_signal_monitor_resi,5,TRUE
school_quality,ic_signal_monitor_resi,0,FALSE
spine,ic_signal_monitor_resi,0,FALSE
supply_pipeline,ic_signal_monitor_resi,5,FALSE
transactions,ic_signal_monitor_resi,0,FALSE
underwriting,ic_signal_monitor_resi,0,FALSE
unemployment,ic_signal_monitor_resi,0,FALSE
vacancy,ic_signal_monitor_resi,0,FALSE
wages,ic_signal_monitor_resi,0,FALSE
absorption,opco_market_pack_req,0,FALSE
automation,opco_market_pack_req,0,FALSE
cap_rate,opco_market_pack_req,0,FALSE
concession,opco_market_pack_req,0,FALSE
crime,opco_market_pack_req,0,FALSE
delinquency,opco_market_pack_req,0,FALSE
disposition,opco_market_pack_req,0,FALSE
dscr,opco_market_pack_req,0,FALSE
education,opco_market_pack_req,0,FALSE
employment,opco_market_pack_req,0,FALSE
homeprice,opco_market_pack_req,0,FALSE
housing_stock,opco_market_pack_req,0,FALSE
income,opco_market_pack_req,0,FALSE
inflation,opco_market_pack_req,0,FALSE
labor,opco_market_pack_req,0,FALSE
listings,opco_market_pack_req,0,FALSE
ltv,opco_market_pack_req,0,FALSE
migration,opco_market_pack_req,0,FALSE
multifamily_market,opco_market_pack_req,0,FALSE
noi,opco_market_pack_req,0,FALSE
occupancy,opco_market_pack_req,0,FALSE
permits,opco_market_pack_req,5,TRUE
pipeline,opco_market_pack_req,0,FALSE
population,opco_market_pack_req,3,FALSE
rates,opco_market_pack_req,0,FALSE
rent,opco_market_pack_req,0,FALSE
school_quality,opco_market_pack_req,0,FALSE
spine,opco_market_pack_req,0,FALSE
supply_pipeline,opco_market_pack_req,0,FALSE
transactions,opco_market_pack_req,0,FALSE
underwriting,opco_market_pack_req,0,FALSE
unemployment,opco_market_pack_req,0,FALSE
vacancy,opco_market_pack_req,0,FALSE
wages,opco_market_pack_req,0,FALSE
absorption,property_tearsheet_resi,0,FALSE
automation,property_tearsheet_resi,0,FALSE
cap_rate,property_tearsheet_resi,0,FALSE
concession,property_tearsheet_resi,0,FALSE
crime,property_tearsheet_resi,0,FALSE
delinquency,property_tearsheet_resi,0,FALSE
disposition,property_tearsheet_resi,0,FALSE
dscr,property_tearsheet_resi,0,FALSE
education,property_tearsheet_resi,0,FALSE
employment,property_tearsheet_resi,0,FALSE
homeprice,property_tearsheet_resi,3,FALSE
housing_stock,property_tearsheet_resi,0,FALSE
income,property_tearsheet_resi,0,FALSE
inflation,property_tearsheet_resi,0,FALSE
labor,property_tearsheet_resi,0,FALSE
listings,property_tearsheet_resi,0,FALSE
ltv,property_tearsheet_resi,0,FALSE
migration,property_tearsheet_resi,0,FALSE
multifamily_market,property_tearsheet_resi,0,FALSE
noi,property_tearsheet_resi,0,FALSE
occupancy,property_tearsheet_resi,5,FALSE
permits,property_tearsheet_resi,0,FALSE
pipeline,property_tearsheet_resi,0,FALSE
population,property_tearsheet_resi,0,FALSE
rates,property_tearsheet_resi,0,FALSE
rent,property_tearsheet_resi,5,TRUE
school_quality,property_tearsheet_resi,0,FALSE
spine,property_tearsheet_resi,0,FALSE
supply_pipeline,property_tearsheet_resi,0,FALSE
transactions,property_tearsheet_resi,0,FALSE
underwriting,property_tearsheet_resi,0,FALSE
unemployment,property_tearsheet_resi,0,FALSE
vacancy,property_tearsheet_resi,3,FALSE
wages,property_tearsheet_resi,0,FALSE
