table_name,domain_family_key,underlying_vendor_code,matrix_tier,is_pit_companion
aircraft_carrier_index,other_cybersyn_share,cybersyn,99,false
aircraft_index,other_cybersyn_share,cybersyn,99,false
airport_index,other_cybersyn_share,cybersyn,99,false
american_community_survey_attributes,american_community_survey,acs,2,false
american_community_survey_attributes_pit,american_community_survey,acs,2,true
american_community_survey_timeseries,american_community_survey,acs,2,false
bank_for_international_settlements_attributes,other_cybersyn_share,cybersyn,99,false
bank_for_international_settlements_attributes_pit,other_cybersyn_share,cybersyn,99,true
bank_for_international_settlements_timeseries,other_cybersyn_share,cybersyn,99,false
bank_for_international_settlements_timeseries_pit,other_cybersyn_share,cybersyn,99,true
bureau_of_labor_statistics_employment_attributes,bureau_of_labor_statistics_employment,bls,2,false
bureau_of_labor_statistics_employment_attributes_pit,bureau_of_labor_statistics_employment,bls,2,true
bureau_of_labor_statistics_employment_timeseries,bureau_of_labor_statistics_employment,bls,2,false
bureau_of_labor_statistics_employment_timeseries_pit,bureau_of_labor_statistics_employment,bls,2,true
bureau_of_labor_statistics_price_attributes,bureau_of_labor_statistics_price,bls,2,false
bureau_of_labor_statistics_price_attributes_pit,bureau_of_labor_statistics_price,bls,2,true
bureau_of_labor_statistics_price_timeseries,bureau_of_labor_statistics_price,bls,2,false
bureau_of_labor_statistics_price_timeseries_pit,bureau_of_labor_statistics_price,bls,2,true
calendar_index,calendar,cybersyn,1,false
canada_statcan_attributes,other_cybersyn_share,cybersyn,99,false
canada_statcan_attributes_pit,other_cybersyn_share,cybersyn,99,true
canada_statcan_timeseries,other_cybersyn_share,cybersyn,99,false
canada_statcan_timeseries_pit,other_cybersyn_share,cybersyn,99,true
climate_watch_attributes,other_cybersyn_share,cybersyn,99,false
climate_watch_attributes_pit,other_cybersyn_share,cybersyn,99,true
climate_watch_timeseries,other_cybersyn_share,cybersyn,99,false
climate_watch_timeseries_pit,other_cybersyn_share,cybersyn,99,true
company_characteristics,other_cybersyn_share,cybersyn,99,false
company_characteristics_pit,other_cybersyn_share,cybersyn,99,true
company_domain_relationships,other_cybersyn_share,cybersyn,99,false
company_event_transcript_attributes,other_cybersyn_share,cybersyn,99,false
company_index,other_cybersyn_share,cybersyn,99,false
company_index_pit,other_cybersyn_share,cybersyn,99,true
company_relationships,other_cybersyn_share,cybersyn,99,false
company_relationships_pit,other_cybersyn_share,cybersyn,99,true
company_security_relationships,other_cybersyn_share,cybersyn,99,false
company_security_relationships_pit,other_cybersyn_share,cybersyn,99,true
datacommons_attributes,other_cybersyn_share,cybersyn,99,false
datacommons_attributes_pit,other_cybersyn_share,cybersyn,99,true
datacommons_timeseries,other_cybersyn_share,cybersyn,99,false
datacommons_timeseries_pit,other_cybersyn_share,cybersyn,99,true
eia_energy_attributes,other_cybersyn_share,cybersyn,99,false
eia_energy_attributes_pit,other_cybersyn_share,cybersyn,99,true
eia_energy_timeseries,other_cybersyn_share,cybersyn,99,false
eia_energy_timeseries_pit,other_cybersyn_share,cybersyn,99,true
european_central_bank_attributes,other_cybersyn_share,cybersyn,99,false
european_central_bank_attributes_pit,other_cybersyn_share,cybersyn,99,true
european_central_bank_timeseries,other_cybersyn_share,cybersyn,99,false
european_central_bank_timeseries_pit,other_cybersyn_share,cybersyn,99,true
european_commission_edgar_attributes,other_cybersyn_share,cybersyn,99,false
european_commission_edgar_attributes_pit,other_cybersyn_share,cybersyn,99,true
european_commission_edgar_timeseries,other_cybersyn_share,cybersyn,99,false
european_commission_edgar_timeseries_pit,other_cybersyn_share,cybersyn,99,true
fbi_crime_attributes,fbi_crime,fbi,5,false
fbi_crime_attributes_pit,fbi_crime,fbi,5,true
fbi_crime_timeseries,fbi_crime,fbi,5,false
fbi_crime_timeseries_pit,fbi_crime,fbi,5,true
fdic_branch_locations_index,fdic_branch_locations,fdic,4,false
fdic_branch_locations_index_pit,fdic_branch_locations,fdic,4,true
fdic_summary_of_deposits_attributes,fdic_summary_of_deposits,fdic,4,false
fdic_summary_of_deposits_attributes_pit,fdic_summary_of_deposits,fdic,4,true
fdic_summary_of_deposits_timeseries,fdic_summary_of_deposits,fdic,4,false
fdic_summary_of_deposits_timeseries_pit,fdic_summary_of_deposits,fdic,4,true
federal_reserve_attributes,other_cybersyn_share,cybersyn,99,false
federal_reserve_attributes_pit,other_cybersyn_share,cybersyn,99,true
federal_reserve_timeseries,other_cybersyn_share,cybersyn,99,false
federal_reserve_timeseries_pit,other_cybersyn_share,cybersyn,99,true
fema_disaster_declaration_areas_index,fema,fema,5,false
fema_disaster_declaration_areas_index_pit,fema,fema,5,true
fema_disaster_declaration_index,fema,fema,5,false
