dataset_code,product_type_code
anchor_loans_portfolio_monthly,btr
anchor_loans_portfolio_monthly,duplex_quadplex
anchor_loans_portfolio_monthly,mf_garden
anchor_loans_portfolio_monthly,mf_highrise
anchor_loans_portfolio_monthly,mf_midrise
anchor_loans_portfolio_monthly,mf_skyscraper
anchor_loans_portfolio_monthly,mf_tower
anchor_loans_portfolio_monthly,sf_scattered
anchor_loans_portfolio_monthly,townhome
apartment_list_cbsa_monthly,btr
apartment_list_cbsa_monthly,duplex_quadplex
apartment_list_cbsa_monthly,mf_garden
apartment_list_cbsa_monthly,mf_highrise
apartment_list_cbsa_monthly,mf_midrise
apartment_list_cbsa_monthly,mf_skyscraper
apartment_list_cbsa_monthly,mf_tower
apartment_list_cbsa_monthly,sf_scattered
apartment_list_cbsa_monthly,townhome
apartmentiq_bh_property_monthly,btr
apartmentiq_bh_property_monthly,duplex_quadplex
apartmentiq_bh_property_monthly,mf_garden
apartmentiq_bh_property_monthly,mf_highrise
apartmentiq_bh_property_monthly,mf_midrise
apartmentiq_bh_property_monthly,mf_skyscraper
apartmentiq_bh_property_monthly,mf_tower
apartmentiq_bh_property_monthly,sf_scattered
apartmentiq_bh_property_monthly,townhome
bkfs_loan_monthly,btr
bkfs_loan_monthly,duplex_quadplex
bkfs_loan_monthly,mf_garden
bkfs_loan_monthly,mf_highrise
bkfs_loan_monthly,mf_midrise
bkfs_loan_monthly,mf_skyscraper
bkfs_loan_monthly,mf_tower
bkfs_loan_monthly,sf_scattered
bkfs_loan_monthly,townhome
bkfs_property_monthly,btr
bkfs_property_monthly,duplex_quadplex
bkfs_property_monthly,mf_garden
bkfs_property_monthly,mf_highrise
bkfs_property_monthly,mf_midrise
bkfs_property_monthly,mf_skyscraper
bkfs_property_monthly,mf_tower
bkfs_property_monthly,sf_scattered
bkfs_property_monthly,townhome
funnel_bh_unit_daily,btr
funnel_bh_unit_daily,duplex_quadplex
funnel_bh_unit_daily,mf_garden
funnel_bh_unit_daily,mf_highrise
funnel_bh_unit_daily,mf_midrise
funnel_bh_unit_daily,mf_skyscraper
funnel_bh_unit_daily,mf_tower
funnel_bh_unit_daily,sf_scattered
funnel_bh_unit_daily,townhome
jbrec_btr_cbsa_quarterly,btr
jbrec_btr_cbsa_quarterly,mf_garden
jbrec_btr_cbsa_quarterly,mf_highrise
jbrec_btr_cbsa_quarterly,mf_midrise
jbrec_btr_cbsa_quarterly,mf_skyscraper
jbrec_btr_cbsa_quarterly,mf_tower
jbrec_mf_cbsa_quarterly,mf_garden
jbrec_mf_cbsa_quarterly,mf_highrise
jbrec_mf_cbsa_quarterly,mf_midrise
jbrec_mf_cbsa_quarterly,mf_skyscraper
jbrec_mf_cbsa_quarterly,mf_tower
jbrec_sfr_cbsa_monthly,btr
jbrec_sfr_cbsa_monthly,duplex_quadplex
jbrec_sfr_cbsa_monthly,sf_scattered
jbrec_sfr_cbsa_monthly,townhome
markerr_rent_listings_monthly,btr
markerr_rent_listings_monthly,duplex_quadplex
markerr_rent_listings_monthly,mf_garden
markerr_rent_listings_monthly,mf_highrise
markerr_rent_listings_monthly,mf_midrise
markerr_rent_listings_monthly,mf_skyscraper
markerr_rent_listings_monthly,mf_tower
markerr_rent_listings_monthly,sf_scattered
markerr_rent_listings_monthly,townhome
markerr_rent_property_monthly,btr
markerr_rent_property_monthly,duplex_quadplex
markerr_rent_property_monthly,mf_garden
markerr_rent_property_monthly,mf_highrise
markerr_rent_property_monthly,mf_midrise
markerr_rent_property_monthly,mf_skyscraper
markerr_rent_property_monthly,mf_tower
markerr_rent_property_monthly,sf_scattered
markerr_rent_property_monthly,townhome
markerr_rent_sfr_monthly,btr
markerr_rent_sfr_monthly,duplex_quadplex
markerr_rent_sfr_monthly,sf_scattered
markerr_rent_sfr_monthly,townhome
parcllabs_ownership_cbsa_monthly,btr
parcllabs_ownership_cbsa_monthly,sf_scattered
selene_properties_monthly,btr
selene_properties_monthly,duplex_quadplex
selene_properties_monthly,mf_garden
selene_properties_monthly,mf_highrise
selene_properties_monthly,mf_midrise
selene_properties_monthly,mf_skyscraper
selene_properties_monthly,mf_tower
selene_properties_monthly,sf_scattered
selene_properties_monthly,townhome
yardi_bh_property_daily,btr
yardi_bh_property_daily,duplex_quadplex
yardi_bh_property_daily,mf_garden
yardi_bh_property_daily,mf_highrise
yardi_bh_property_daily,mf_midrise
yardi_bh_property_daily,mf_skyscraper
yardi_bh_property_daily,mf_tower
yardi_bh_property_daily,sf_scattered
yardi_bh_property_daily,townhome
yardi_matrix_bh_monthly,btr
yardi_matrix_bh_monthly,duplex_quadplex
yardi_matrix_bh_monthly,mf_garden
yardi_matrix_bh_monthly,mf_highrise
yardi_matrix_bh_monthly,mf_midrise
yardi_matrix_bh_monthly,mf_skyscraper
yardi_matrix_bh_monthly,mf_tower
yardi_matrix_bh_monthly,sf_scattered
yardi_matrix_bh_monthly,townhome
yardi_progress_property_daily,btr
yardi_progress_property_daily,duplex_quadplex
yardi_progress_property_daily,mf_garden
yardi_progress_property_daily,mf_highrise
yardi_progress_property_daily,mf_midrise
yardi_progress_property_daily,mf_skyscraper
yardi_progress_property_daily,mf_tower
yardi_progress_property_daily,sf_scattered
yardi_progress_property_daily,townhome
zonda_btr_h3_monthly,btr
zonda_btr_h3_monthly,mf_garden
zonda_btr_h3_monthly,mf_highrise
zonda_btr_h3_monthly,mf_midrise
zonda_btr_h3_monthly,mf_skyscraper
zonda_btr_h3_monthly,mf_tower
zonda_survey_historical,btr
zonda_survey_historical,mf_garden
zonda_survey_historical,mf_highrise
zonda_survey_historical,mf_midrise
zonda_survey_historical,mf_skyscraper
zonda_survey_historical,mf_tower
