metric_id,metric_code,metric_label,definition,concept_code,vendor_code,is_derived,source_vendor_codes,unit,direction,geo_level_code,frequency_code,is_active,data_status_code,snowflake_column,table_path,metric_category_code,is_opco_metric
BLS_MAN_1ED76E4FF9,bls_bls_oes_cbsa_annual_hourly_median_wage,Bls Hourly Median Wage,Bls Hourly Median Wage (hourly median wage).,employment,bls,FALSE,Bls,usd,neutral,cbsa,annual,TRUE,under_review,HOURLY_MEDIAN_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
BLS_MAN_491A82BE00,bls_bls_oes_cbsa_annual_survey_year,Bls Survey Year,Bls Survey Year (survey year).,pipeline,bls,FALSE,Bls,varies,neutral,cbsa,annual,TRUE,under_review,SURVEY_YEAR,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
BLS_MAN_765F65A52C,bls_bls_oes_cbsa_annual_jobs_per_1000,Bls Jobs Per 1000,Bls Jobs Per 1000 (jobs per 1000).,pipeline,bls,FALSE,Bls,varies,neutral,cbsa,annual,TRUE,under_review,JOBS_PER_1000,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
BLS_MAN_7A89C71E4C,bls_bls_laus_county_monthly_unemployment_rate,Bls Unemployment Rate,Bls Unemployment Rate (unemployment rate).,unemployment,bls,FALSE,Bls,pct,positive,county,monthly,TRUE,under_review,UNEMPLOYMENT_RATE,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY_MONTHLY,coincident,FALSE
BLS_MAN_88E224649A,bls_bls_laus_county_monthly_employment_ratio,Bls Employment Ratio,Bls Employment Ratio (employment ratio).,employment,bls,FALSE,Bls,pct,positive,county,monthly,TRUE,under_review,EMPLOYMENT_RATIO,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY_MONTHLY,coincident,FALSE
BLS_MAN_99EEF63C98,bls_bls_oes_cbsa_annual_annual_pct75_wage,Bls Annual Pct75 Wage,Bls Annual Pct75 Wage (annual pct75 wage).,employment,bls,FALSE,Bls,pct,neutral,cbsa,annual,TRUE,under_review,ANNUAL_PCT75_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
BLS_MAN_9AE63CDB5E,bls_bls_oes_cbsa_annual_annual_median_wage,Bls Annual Median Wage,Bls Annual Median Wage (annual median wage).,employment,bls,FALSE,Bls,usd,neutral,cbsa,annual,TRUE,under_review,ANNUAL_MEDIAN_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
BLS_MAN_B20D0D363E,bls_bls_oes_cbsa_annual_total_employment,Bls Total Employment,Bls Total Employment (total employment).,employment,bls,FALSE,Bls,count,positive,cbsa,annual,TRUE,under_review,TOTAL_EMPLOYMENT,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
BLS_MAN_B5DD37A7E8,bls_bls_laus_county_monthly_labor_force,Bls Labor Force,Bls Labor Force (labor force).,employment,bls,FALSE,Bls,varies,neutral,county,monthly,TRUE,under_review,LABOR_FORCE,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY_MONTHLY,coincident,FALSE
BLS_MAN_B95F5CB1A3,bls_bls_oes_cbsa_annual_annual_mean_wage,Bls Annual Mean Wage,Bls Annual Mean Wage (annual mean wage).,employment,bls,FALSE,Bls,usd,neutral,cbsa,annual,TRUE,under_review,ANNUAL_MEAN_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
BLS_MAN_D89F042CED,bls_bls_oes_cbsa_annual_emp_pct_rse,Bls Emp Pct Rse,Bls Emp Pct Rse (emp pct rse).,pipeline,bls,FALSE,Bls,pct,neutral,cbsa,annual,TRUE,under_review,EMP_PCT_RSE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
BLS_MAN_E1076DF1DB,bls_bls_oes_cbsa_annual_location_quotient,Bls Location Quotient,Bls Location Quotient (location quotient).,pipeline,bls,FALSE,Bls,varies,neutral,cbsa,annual,TRUE,under_review,LOCATION_QUOTIENT,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,coincident,FALSE
