rent_tier_id,rent_tier_code,rent_tier_label,rent_min,rent_max,sort_order,is_active,product_type_code
RNT_001,sub_800,Sub $800,0,800,1,TRUE,
RNT_002,800_1000,$800–1000,800,1000,2,TRUE,
RNT_003,1000_1250,$1000–1250,1000,1250,3,TRUE,
RNT_004,1250_1500,$1250–1500,1250,1500,4,TRUE,
RNT_005,1500_1750,$1500–1750,1500,1750,5,TRUE,
RNT_006,1750_2000,$1750–2000,1750,2000,6,TRUE,
RNT_007,2000_2500,$2000–2500,2000,2500,7,TRUE,
RNT_008,2500_3000,$2500–3000,2500,3000,8,TRUE,
RNT_009,3000_4000,$3000–4000,3000,4000,9,TRUE,
RNT_010,4000_plus,$4000+,4000,,10,TRUE,
