file_name,geo_unit,schema_year,approx_size_mb,source_note
tract_1910.parquet,tract,1910,2.5,operator_inventory_2026-04
tract_1920.parquet,tract,1920,4.7,operator_inventory_2026-04
tract_1940.parquet,tract,1940,5.2,operator_inventory_2026-04
tract_1950.parquet,tract,1950,11.1,operator_inventory_2026-04
tract_1960.parquet,tract,1960,33.4,operator_inventory_2026-04
tract_1980.parquet,tract,1980,96.0,operator_inventory_2026-04
tract_1990.parquet,tract,1990,616.6,operator_inventory_2026-04
tract_2010.parquet,tract,2010,522.1,operator_inventory_2026-04
tract_2012.parquet,tract,2012,519.5,operator_inventory_2026-04
tract_2015.parquet,tract,2015,615.8,operator_inventory_2026-04
tract_2016.parquet,tract,2016,529.1,operator_inventory_2026-04
tract_2017.parquet,tract,2017,529.3,operator_inventory_2026-04
tract_2018.parquet,tract,2018,532.8,operator_inventory_2026-04
tract_2019.parquet,tract,2019,71.1,operator_inventory_2026-04
tract_2020.parquet,tract,2020,83.2,operator_inventory_2026-04
tract_2021.parquet,tract,2021,77.2,operator_inventory_2026-04
tract_2022.parquet,tract,2022,76.6,operator_inventory_2026-04
tract_2023.parquet,tract,2023,76.7,operator_inventory_2026-04
tract_2024.parquet,tract,2024,76.7,operator_inventory_2026-04
zcta5_2012.parquet,zcta5,2012,711.5,operator_inventory_2026-04
zcta5_2015.parquet,zcta5,2015,813.8,operator_inventory_2026-04
zcta5_2016.parquet,zcta5,2016,716.8,operator_inventory_2026-04
zcta5_2017.parquet,zcta5,2017,726.0,operator_inventory_2026-04
zcta5_2018.parquet,zcta5,2018,719.9,operator_inventory_2026-04
zcta5_2019.parquet,zcta5,2019,725.2,operator_inventory_2026-04
zcta5_2020.parquet,zcta5,2020,92.1,operator_inventory_2026-04
